countyName,year,capitalMurder,violentCrimes,crimesAgainstPersons,crimesAgainstProperty,drugOffenses
Escambia,2011,13.0,108.0,"1,289","2,954","1,162"
Okaloosa,2011,9.0,48.0,493,"1,371",470
Santa Rosa,2011,0.0,54.0,311,"1,071",348
Walton,2011,2.0,46.0,175,497,277
Franklin,2011,0.0,5.0,43,114,111
Gadsden,2011,4.0,29.0,196,277,163
Jefferson,2011,0.0,5.0,55,111,87
Leon,2011,10.0,90.0,754,"1,915",432
Liberty,2011,0.0,5.0,16,59,27
Wakulla,2011,0.0,15.0,72,203,61
Columbia,2011,1.0,14.0,150,578,104
Dixie,2011,0.0,8.0,28,124,23
Hamilton,2011,0.0,7.0,18,92,25
Lafayette,2011,0.0,1.0,6,26,7
Madison,2011,2.0,3.0,70,158,62
Suwannee,2011,1.0,11.0,107,304,263
Taylor,2011,0.0,8.0,47,178,52
Clay,2011,3.0,74.0,418,"1,635",541
Duval,2011,23.0,303.0,"1,280","4,709","2,253"
Nassau,2011,0.0,26.0,91,293,210
Citrus,2011,0.0,55.0,201,564,241
Hernando,2011,6.0,33.0,337,"1,262",362
Lake,2011,4.0,47.0,601,"1,414",806
Marion,2011,5.0,112.0,652,"2,026",997
Sumter,2011,0.0,20.0,109,412,280
Pasco,2011,15.0,77.0,538,"2,757","1,317"
Pinellas,2011,20.0,164.0,"1,814","6,629","4,186"
Flagler,2011,0.0,9.0,183,343,146
Putnam,2011,2.0,38.0,217,780,388
St. Johns,2011,6.0,20.0,231,725,244
Volusia,2011,9.0,135.0,"1,066","3,517","1,632"
Alachua,2011,9.0,73.0,563,"1,394",761
Baker,2011,0.0,6.0,85,200,110
Bradford,2011,2.0,9.0,108,431,225
Gilchrist,2011,0.0,5.0,43,125,12
Levy,2011,0.0,5.0,75,304,107
Union,2011,0.0,8.0,42,124,25
Orange,2011,42.0,441.0,"2,670","7,137","3,574"
Osceola,2011,12.0,121.0,602,"1,237","1,102"
Hardee,2011,0.0,14.0,56,170,76
Highlands,2011,0.0,41.0,150,587,157
Polk,2011,15.0,183.0,"2,086","4,124","2,344"
Miami-Dade,2011,33.0,465.0,"3,524","9,425","5,771"
Desoto,2011,2.0,17.0,90,204,176
Manatee,2011,4.0,53.0,389,"1,551",697
Sarasota,2011,2.0,72.0,483,"1,947","1,026"
,2011,,,,,
Hillsborough,2011,22.0,178.0,"2,338","6,753","3,519"
Bay,2011,2.0,77.0,427,"2,014",732
Calhoun,2011,0.0,3.0,55,78,129
Gulf,2011,0.0,5.0,22,190,59
Holmes,2011,0.0,10.0,65,165,90
Jackson,2011,0.0,12.0,187,331,226
Washington,2011,0.0,7.0,55,143,164
Palm Beach,2011,30.0,216.0,"1,684","4,438","2,802"
Monroe,2011,2.0,19.0,273,569,381
Broward,2011,40.0,282.0,"2,977","8,988","4,692"
Brevard,2011,11.0,88.0,884,"3,405","1,471"
Seminole,2011,8.0,36.0,498,"1,633",915
Indian River,2011,3.0,19.0,168,645,245
Martin,2011,0.0,29.0,133,626,445
Okeechobee,2011,0.0,18.0,80,363,169
St. Lucie,2011,18.0,55.0,515,"1,294",849
,2011,,,,,
Charlotte,2011,0.0,33.0,264,974,628
Collier,2011,0.0,43.0,219,815,403
Glades,2011,0.0,2.0,25,114,17
Hendry,2011,0.0,13.0,94,264,157
Lee,2011,2.0,103.0,729,"2,625","1,382"
