circuitID,year,filings,charges,acquittals,pleas,convictions,juryTrialRates
1,2005,11034,22893,68,8,126,0.02
2,2005,5796,12621,69,1,99,0.03
3,2005,2124,4682,5,5,43,0.028
4,2005,11560,26193,18,46,57,0.01
5,2005,11768,24348,74,24,94,0.017
6,2005,18814,31989,48,5,144,0.011
7,2005,9687,14190,42,22,85,0.015
8,2005,5375,11216,26,4,69,0.019
9,2005,21674,40802,120,144,174,0.022
10,2005,8999,23061,97,12,219,0.036
11,2005,26812,52603,132,98,244,0.017
12,2005,7517,12384,19,18,65,0.015
13,2005,18146,39887,65,50,194,0.016
14,2005,5246,10243,47,3,54,0.021
15,2005,11273,19766,58,13,69,0.012
16,2005,1531,2963,4,12,6,0.016
17,2005,15910,34802,234,1,276,0.034
18,2005,9722,21776,34,20,115,0.019
19,2005,6324,15129,51,13,145,0.032
20,2005,9845,21393,43,2,42,0.013
1,2006,10941,23066,87,9,144,0.022
2,2006,5995,12802,62,0,157,0.035
3,2006,2399,5180,8,10,23,0.018
4,2006,12811,28296,14,52,54,0.01
5,2006,12287,25108,44,30,98,0.014
6,2006,20010,33945,41,4,134,0.09
7,2006,9917,15177,35,20,95,0.016
8,2006,4253,9262,23,2,53,0.016
9,2006,21797,41007,148,92,170,0.019
10,2006,8908,22679,70,15,208,0.034
11,2006,29177,56699,129,109,239,0.015
12,2006,8635,15577,32,22,87,0.018
13,2006,19826,43909,60,52,162,0.013
14,2006,5434,10752,34,1,57,0.018
15,2006,11777,21077,35,7,97,0.011
16,2006,1490,2937,2,7,9,0.013
17,2006,18371,39109,285,0,339,0.035
18,2006,9190,17972,24,35,119,0.021
19,2006,6158,15276,35,2,116,0.024
20,2006,11041,22902,44,11,87,0.018
1,2007,10466,21548,45,6,126,0.017
2,2007,5539,11498,54,4,162,0.038
3,2007,2228,4531,7,6,27,0.017
4,2007,12309,25439,8,16,42,0.006
5,2007,12402,25697,32,36,104,0.013
6,2007,19474,31377,50,6,161,0.01
7,2007,9452,13983,29,32,86,0.016
8,2007,4882,10150,13,3,47,0.012
9,2007,22859,45378,191,14,281,0.021
10,2007,9182,23923,55,19,193,0.029
11,2007,29720,55891,119,126,270,0.016
12,2007,8309,15014,35,13,90,0.016
13,2007,19948,42441,58,36,176,0.013
14,2007,5349,9921,41,6,70,0.022
15,2007,12775,23132,40,2,140,0.014
16,2007,1432,3033,1,7,9,0.013
17,2007,18810,40129,232,0,350,0.031
18,2007,10485,20804,44,45,106,0.018
19,2007,7299,18280,50,1,147,0.026
20,2007,12531,25952,38,30,109,0.017
1,2008,9798,20893,64,11,132,0.02
2,2008,5034,10676,68,2,157,0.042
3,2008,2207,5096,5,2,20,0.013
4,2008,12432,23134,7,9,49,0.005
5,2008,11676,26104,37,17,72,0.011
6,2008,17174,28709,66,9,189,0.015
7,2008,9594,14931,27,12,82,0.014
8,2008,4464,9486,15,13,41,0.015
9,2008,16349,37890,171,14,282,0.026
10,2008,7823,22257,59,6,104,0.023
11,2008,27476,52405,99,125,220,0.015
12,2008,7244,13230,22,12,106,0.017
13,2008,17105,38208,55,27,145,0.012
14,2008,4752,8530,30,4,37,0.016
15,2008,11482,22195,37,26,120,0.015
16,2008,1469,2897,7,26,4,0.037
17,2008,17597,36757,155,5,230,0.023
18,2008,8728,17733,41,26,115,0.018
19,2008,6483,15568,45,2,169,0.031
20,2008,10706,24063,46,17,107,0.016
1,2009,9438,21101,72,10,168,0.026
2,2009,4648,10019,60,4,150,0.044
3,2009,2736,5770,5,4,14,0.009
4,2009,12120,20726,27,44,225,0.022
5,2009,11382,24972,45,13,103,0.015
6,2009,18821,31348,63,9,197,0.015
7,2009,9891,16341,30,14,85,0.014
8,2009,4432,9359,25,19,38,0.019
9,2009,16447,36904,197,5,189,0.026
10,2009,10149,27881,59,6,132,0.027
11,2009,24291,45889,116,116,170,0.014
12,2009,6759,12900,40,11,111,0.024
13,2009,13693,32568,42,31,157,0.014
14,2009,4777,8357,18,3,35,0.013
15,2009,9480,20956,48,47,155,0.029
16,2009,1350,3261,4,20,3,0.03
17,2009,16731,34864,150,0,222,0.024
18,2009,8959,19317,40,39,124,0.025
19,2009,6020,14736,51,2,141,0.029
20,2009,9661,22686,55,6,143,0.021
1,2010,9048,19175,56,14,165,0.025
2,2010,4787,12850,62,3,147,0.045
3,2010,2668,5438,5,4,15,0.009
4,2010,11900,22727,27,25,218,0.02
5,2010,10991,23228,45,16,108,0.015
6,2010,18371,30982,48,9,173,0.013
7,2010,10237,16743,18,10,81,0.011
8,2010,4762,10689,24,10,62,0.022
9,2010,17353,38856,206,5,200,0.026
10,2010,10182,27906,55,8,143,0.027
11,2010,21074,41295,105,66,180,0.016
12,2010,6420,12696,39,12,69,0.019
13,2010,13197,28651,50,16,161,0.014
14,2010,4680,9301,13,7,38,0.011
15,2010,8800,17718,54,12,138,0.023
16,2010,1421,3065,1,8,7,0.017
17,2010,16216,33801,137,1,194,0.022
18,2010,8987,18536,43,50,189,0.034
19,2010,5855,13560,27,5,67,0.019
20,2010,9504,21797,43,6,94,0.015
