circuitID,year,filings,charges,acquittals,pleas,convictions,juryTrialRates
1,2015,"10,623","23,103",33,15,114,0.017
2,2015,"4,788","10,950",56,1,161,0.043
3,2015,"2,650","6,102",5,0,18,0.009
4,2015,"8,741","17,570",19,11,156,0.019
5,2015,"9,294","19,779",22,1,38,0.0069999999999999
6,2015,"14,949","25,268",47,7,128,0.012
7,2015,"8,590","16,429",31,8,102,0.015
8,2015,"3,956","8,490",9,15,32,0.015
9,2015,"13,280","29,539",101,0,166,0.021
10,2015,"9,177","25,682",53,2,202,0.03
11,2015,"14,640","32,976",67,47,118,0.016
12,2015,"6,335","13,934",23,13,88,0.022
13,2015,"12,999","27,845",36,1,111,0.012
14,2015,"5,479","11,296",8,2,29,0.008
15,2015,"8,663","17,850",45,4,113,0.018
16,2015,"1,075","2,498",2,4,12,0.023
17,2015,"14,269","28,991",80,14,129,0.017
18,2015,"8,481","18,166",20,25,86,0.016
19,2015,"5,546","15,877",16,7,102,0.023
20,2015,"8,135","17,571",25,6,140,0.021
