countyName,districtName,circuitID,population,populationDensity,medianIncome,percentWhite,povertyRate,literacyScore
Alachua,D3,8,279729,329.664,53314,61.14,20.2,272
Baker,D3,8,27969,44.55213675,63860,79.85,13.7,254
Bay,D2,14,181055,259.1108179,60473,74.94,12.2,265
Bradford,D3,8,27816,87.8877551,48803,73.95,18.2,247
Brevard,D8,18,610723,646.8916256,63632,73.88,10.1,271
Broward,D20,17,1940907,1631.830986,64522,39.92,12.4,259
Calhoun,D2,14,13753,23.5696649,38098,78.7,19.9,242
Charlotte,D17,20,189900,320.2863436,57887,84.32,10.5,265
Citrus,D11,5,155173,294.4347079,48664,87.49,15.0,260
Clay,D4,4,219650,387.9355372,74059,70.97,9.4,269
Collier,D25,20,380221,209.8549275,75543,68.4,10.4,260
Columbia,D3,3,69832,95.13784461,47750,72.79,15.7,258
DeSoto,D17,12,34258,58.4866562,39945,62.75,15.3,229
Dixie,D3,3,16737,24.9106383,44287,83.88,26.4,247
Duval,D4,4,995708,1369.730013,59541,51.71,16.1,264
Escambia,D1,1,321296,498.7427702,56605,64.3,14.3,269
Flagler,D6,7,117515,285.1690722,62305,75.98,14.9,267
Franklin,D2,2,12276,24.11743119,52679,80.33,9.8,250
Gadsden,D2,2,43746,83.52906977,42661,34.08,21.7,241
Gilchrist,D3,8,18070,58.18285714,50983,84.92,25.5,254
Glades,D17,20,12179,15.91315136,38088,67.96,12.4,239
Gulf,D2,14,15002,30.75451264,53812,80.32,21.9,252
Hamilton,D3,3,13492,26.23929961,39346,57.33,12.3,233
Hardee,D17,10,25528,41.25548589,41395,58.52,26.4,227
Hendry,D25,20,39902,37.80832611,38843,46.56,28.5,226
Hernando,D11,5,196621,463.8266385,53301,78.4,22.3,260
Highlands,D17,10,102339,108.4208456,46895,70.68,12.5,252
Hillsborough,D14,13,1468560,1540.189216,64164,52.57,15.6,261
Holmes,D2,14,19529,42.51148225,41809,86.82,13.7,245
Indian River,D8,19,160986,346.7753479,61594,76.69,16.6,264
Jackson,D2,14,47704,54.82026144,43416,66.32,11.4,246
Jefferson,D2,2,14458,27.04682274,53080,61.37,19.2,251
Lafayette,D3,3,8107,13.7053407,56458,77.35,18.3,241
Lake,D15,5,386829,466.3823216,60013,70.18,19.3,262
Lee,D19,20,772902,1130.110969,63235,69.75,9.7,260
Leon,D2,2,294128,449.6926537,57359,56.1,11.7,275
Levy,D3,8,43268,42.45438283,43029,79.49,19.4,250
Liberty,D2,2,7704,9.800239234,42438,74.32,15.7,238
Madison,D2,3,17986,26.51724138,39503,58.02,21.8,245
Manatee,D16,12,405069,619.6864065,64964,72.35,22.4,264
Marion,D5,5,378225,263.9023929,50808,71.44,10.2,256
Martin,D18,19,159399,304.2647059,69769,78.56,14.4,271
Miami-Dade,D27,11,2688237,1411.62138,57815,29.5,10.5,236
Monroe,D28,16,82044,81.98779247,73153,72.58,11.7,264
Nassau,D4,4,91538,161.6502311,77504,85.27,9.2,270
Okaloosa,D1,1,212021,238.8731183,67390,71.75,10.2,273
Okeechobee,D17,19,39870,53.50845254,47020,68.95,19.2,237
Orange,D10,9,1427403,1663.700997,65784,44.04,13.5,261
Osceola,D9,9,393745,346.0805723,58513,40.58,13.4,245
Palm Beach,D21,15,1494805,786.286802,68874,57.34,11.4,263
Pasco,D12,6,569211,877.7112299,58084,74.23,11.8,264
Pinellas,D13,6,959918,3529.653285,60451,73.93,11.5,269
Polk,D9,10,736229,474.0422927,55099,60.55,14.8,252
Putnam,D6,7,73604,104.4986264,39975,71.39,22.8,243
Santa Rosa,D1,1,188994,204.7806324,77260,80.39,6.8,275
Sarasota,D16,12,439392,880.8597122,69490,82.73,12.5,272
Seminole,D7,18,471321,1599.669903,73002,61.5,8.9,276
St. Johns,D6,7,278722,556.0282862,88794,80.61,8.1,284
St. Lucie,D18,19,334682,677.527972,59807,58.38,9.6,254
Sumter,D11,5,131832,301.9670932,63323,86.36,9.3,272
Suwannee,D3,3,43881,69.73730044,47218,75.96,14.4,246
Taylor,D2,3,21421,21.35858102,43563,73.62,15.1,245
Union,D3,8,15524,60.36885246,55463,73.72,15.9,240
Volusia,D6,7,558520,550.0454133,56786,72.29,12.2,261
Wakulla,D2,2,33732,61.0330033,72941,78.82,6.1,262
Walton,D1,1,76618,86.64354528,68111,82.14,10.5,266
Washington,D2,14,25014,45.43396226,41806,78.25,22.7,248
