year,agencyName,countyName,numOfficers,numOfficersPer1000
2022,Alachua Police Department,Alachua,27,2.49
2022,Altamonte Springs Police Department,Seminole,94,1.98
2022,Altha Police Department,Calhoun,5,10.04
2022,Apalachicola Police Department,Franklin,11,4.62
2022,Apopka Police Department,Orange,110,1.92
2022,Arcadia Police Department,Desoto,24,3.15
2022,Astatula Police Department,Lake,7,3.51
2022,Atlantic Beach Police Department,Duval,28,2.07
2022,Atlantis Police Department,Palm Beach,14,6.53
2022,Auburndale Police Department,Polk,36,2.06
2022,Aventura Police Department,Miami-Dade,90,2.23
2022,Bal Harbour Village Police Department,Miami-Dade,33,10.67
2022,Bartow Police Department,Polk,46,2.34
2022,Bay Harbor Islands Police Department,Miami-Dade,27,4.53
2022,Belleair Police Department,Pinellas,23,5.26
2022,Belleview Police Department,Marion,14,2.43
2022,Biscayne Park Police Department,Miami-Dade,47,15.10
2022,Blountstown Police Department,Calhoun,20,10.96
2022,Boca Raton Police Services Department,Palm Beach,208,2.09
2022,Bonifay Police Department,Holmes,11,5.07
2022,Bowling Green Police Department,Hardee,6,2.46
2022,Boynton Beach Police Department,Palm Beach,144,1.76
2022,Bradenton Beach Police Department,Manatee,13,14.49
2022,Bradenton Police Department,Manatee,125,2.19
2022,Bunnell Police Department,Flagler,12,3.20
2022,Cape Coral Police Department,Lee,263,1.28
2022,Carrabelle Police Department,Franklin,7,2.48
2022,Casselberry Police Department,Seminole,52,1.73
2022,Cedar Key Police Department,Levy,7,10.16
2022,Chattahoochee Police Department,Gadsden,12,4.37
2022,Chiefland Police Department,Levy,12,6.46
2022,Chipley Police Department,Washington,15,4.17
2022,City Of Belle Isle Police Department,Orange,18,2.56
2022,Clearwater Police Department,Pinellas,231,1.94
2022,Clermont Police Department,Lake,77,1.68
2022,Clewiston Police Department,Hendry,14,2.73
2022,Cocoa Beach Police Department,Brevard,39,3.43
2022,Cocoa Police Department,Brevard,68,3.42
2022,Coconut Creek Police Department,Broward,111,1.92
2022,Coral Gables Police Department,Miami-Dade,238,4.58
2022,Coral Springs Police Department,Broward,223,1.65
2022,Cottondale Police Department,Jackson,4,4.69
2022,Crestview Police Department,Okaloosa,43,0.00
2022,Cross City Police Department,Dixie,6,1.56
2022,Dade City Police Department,Pasco,30,4.08
2022,Davenport Police Department,Polk,20,3.86
2022,Davie Police Department,Broward,199,1.85
2022,Daytona Beach Police Department,Volusia,238,1.86
2022,Daytona Beach Shores Public Safety Department,Volusia,35,3.18
2022,Defuniak Springs Police Department,Walton,27,4.54
2022,Deland Police Department,Volusia,69,1.76
2022,Delray Beach Police Department,Palm Beach,156,2.33
2022,Doral Police Department,Miami-Dade,159,1.96
2022,Dunnellon Police Department,Marion,13,6.53
2022,Eatonville Police Department,Orange,14,5.90
2022,Edgewater Police Department,Volusia,32,1.34
2022,Edgewood Police Department,Orange,11,4.16
2022,El Portal Police Department,Miami-Dade,21,10.54
2022,Eustis Police Department,Lake,42,1.78
2022,Fellsmere Police Department,Indian River,9,1.83
2022,Fernandina Beach Police Department,Nassau,38,2.88
2022,Flagler Beach Police Department,Flagler,16,3.05
2022,Florida City Police Department,Miami-Dade,36,2.51
2022,Fort Lauderdale Police Department,Broward,512,2.78
2022,Fort Myers Police Department,Lee,229,2.37
2022,Fort Pierce Police Department,St. Lucie,132,2.76
2022,Fort Walton Beach Police Department,Okaloosa,52,2.47
2022,Fruitland Park Police Department,Lake,22,2.67
2022,Gainesville Police Department,Alachua,248,1.70
2022,Golden Beach Police Department,Miami-Dade,29,30.37
2022,Graceville Police Department,Jackson,11,5.21
2022,Green Cove Springs Police Department,Clay,26,2.54
2022,Gretna Police Department,Gadsden,7,5.14
2022,Groveland Police Department,Lake,46,2.13
2022,Gulf Breeze Police Department,Santa Rosa,27,4.23
2022,Gulf Stream Police Department,Palm Beach,12,12.54
2022,Gulfport Police Department,Pinellas,27,2.29
2022,Haines City Police Department,Polk,57,1.84
2022,Hallandale Beach Police Department,Broward,92,2.21
2022,Havana Police Department,Gadsden,12,7.88
2022,Hialeah Gardens Police Department,Miami-Dade,47,2.04
2022,Hialeah Police Department,Miami-Dade,281,1.23
2022,High Springs Police Department,Alachua,21,3.12
2022,Highland Beach Police Department,Palm Beach,18,4.18
2022,Hillsboro Beach Police Department,Broward,20,10.10
2022,Holly Hill Police Department,Volusia,25,1.93
2022,Hollywood Police Department,Broward,315,2.04
2022,Holmes Beach Police Department,Manatee,19,6.29
2022,Homestead Police Department,Miami-Dade,135,1.66
2022,Howey-In-The-Hills Police Department,Lake,13,7.31
2022,Indialantic Police Department,Brevard,13,4.34
2022,Indian Creek Village Public Safety Department,Miami-Dade,16,179.78
2022,Indian Harbour Beach Police Department,Brevard,19,2.12
2022,Indian River Shores Public Safety Department,Indian River,33,7.44
2022,Indian Shores Police Department,Pinellas,16,13.26
2022,Interlachen Police Department,Putnam,4,2.77
2022,Jacksonville Beach Police Department,Duval,64,2.65
2022,Jasper Police Department,Hamilton,9,2.42
2022,Jennings Police Department,Hamilton,1,1.32
2022,Juno Beach Police Department,Palm Beach,17,4.39
2022,Jupiter Inlet Colony Police Department,Palm Beach,13,32.02
2022,Jupiter Island Public Safety Department,Martin,23,29.00
2022,Jupiter Police Department,Palm Beach,108,1.78
2022,Kenneth City Police Department,Pinellas,19,3.76
2022,Key Biscayne Police Department,Miami-Dade,36,2.44
2022,Key Colony Beach Police Department,Monroe,7,8.67
2022,Key West Police Department,Monroe,92,3.40
2022,Kissimmee Police Department,Osceola,151,1.91
2022,Lady Lake Police Department,Lake,26,1.67
2022,Lake Alfred Police Department,Polk,11,1.63
2022,Lake City Police Department,Columbia,39,3.13
2022,Lake Clarke Shores Police Department,Palm Beach,17,4.77
2022,Lake Hamilton Police Department,Polk,10,6.41
2022,Lake Helen Police Department,Volusia,12,4.03
2022,Lake Mary Police Department,Seminole,47,2.71
2022,Lake Placid Police Department,Highlands,13,5.45
2022,Lake Wales Police Department,Polk,50,2.88
2022,Lakeland Police Department,Polk,241,2.00
2022,Lantana Police Department,Palm Beach,33,2.72
2022,Largo Police Department,Pinellas,157,1.86
2022,Lauderhill Police Department,Broward,125,1.67
2022,Lawtey Police Department,Bradford,11,16.59
2022,Leesburg Police Department,Lake,64,2.22
2022,Lighthouse Point Police Department,Broward,33,3.14
2022,Live Oak Police Department,Suwannee,19,2.76
2022,Longboat Key Police Department,Manatee,18,2.39
2022,Longwood Police Department,Seminole,43,2.77
2022,Lynn Haven Police Department,Bay,38,1.99
2022,Madison Police Department,Madison,13,7.66
2022,Maitland Police Department,Orange,52,2.61
2022,Manalapan Police Department,Palm Beach,12,28.44
2022,Marco Island Police Department,Collier,45,2.79
2022,Margate Police Department,Broward,107,1.82
2022,Marianna Police Department,Jackson,19,2.70
2022,Mascotte Police Department,Lake,13,1.74
2022,Medley Police Department,Miami-Dade,40,37.88
2022,Melbourne Beach Police Department,Brevard,10,3.09
2022,Melbourne Police Department,Brevard,148,1.70
2022,Melbourne Village Police Department,Brevard,6,8.82
2022,Miami Beach Police Department,Miami-Dade,465,5.64
2022,Miami Gardens Police Department,Miami-Dade,195,1.69
2022,Miami Police Department,Miami-Dade,1363,3.01
2022,Miami Shores Police Department,Miami-Dade,44,3.78
2022,Miami Springs Police Department,Miami-Dade,43,3.10
2022,Miccosukee Police Department,Miami-Dade,61,0.00
2022,Midway Police Department,Gadsden,2,0.55
2022,Milton Police Department,Santa Rosa,20,1.97
2022,Miramar Police Department,Broward,214,1.55
2022,Monticello Police Department,Jefferson,7,3.78
2022,Mount Dora Police Department,Lake,44,2.57
2022,Naples Police Department,Collier,58,3.01
2022,Neptune Beach Police Department,Duval,22,3.03
2022,New Port Richey Police Department,Pasco,40,2.39
2022,New Smyrna Beach Police Department,Volusia,50,1.59
2022,Niceville Police Department,Okaloosa,26,1.61
2022,North Bay Village Police Department,Miami-Dade,31,3.90
2022,North Miami Beach Police Department,Miami-Dade,115,2.64
2022,North Miami Police Department,Miami-Dade,116,1.92
2022,North Palm Beach Police Department,Palm Beach,46,3.49
2022,North Port Police Department,Sarasota,119,1.45
2022,Oakland Police Department,Orange,16,2.97
2022,Ocala Police Department,Marion,210,3.26
2022,Ocean Ridge Police Department,Palm Beach,17,9.83
2022,Ocoee Police Department,Orange,97,1.97
2022,Okeechobee Police Department,Okeechobee,23,4.86
2022,Opa Locka Police Department,Miami-Dade,50,2.99
2022,Orange City Police Department,Volusia,25,1.80
2022,Orange Park Police Department,Clay,25,2.73
2022,Orlando Police Department,Orange,845,2.63
2022,Ormond Beach Police Department,Volusia,67,1.50
2022,Oviedo Police Department,Seminole,69,1.72
2022,Palatka Police Department,Putnam,30,2.85
2022,Palm Bay Police Department,Brevard,161,1.32
2022,Palm Beach Gardens Police Department,Palm Beach,145,2.39
2022,Palm Beach Police Department,Palm Beach,65,7.05
2022,Palm Springs Public Safety Department,Palm Beach,40,1.49
2022,Palmetto Police Department,Manatee,38,2.82
2022,Panama City Beach Police Department,Bay,84,4.40
2022,Panama City Police Department,Bay,91,2.52
2022,Parker Police Department,Bay,10,2.35
2022,Pembroke Pines Police Department,Broward,268,1.56
